"f","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
88.201,1,0,-7,0,0
88.188,1,0.014,-6.986,0,0
88.175,1,0.028,-6.972,0,0
88.162,1,0.042,-6.958,0,0
88.149,1,0.056,-6.944,0,0
88.136,1,0.07,-6.93,0,0
88.123,1,0.084,-6.916,0,0
88.109,1,0.098,-6.902,0,0
88.096,1,0.112,-6.888,0,0
88.083,1,0.126,-6.874,0,0
88.07,1,0.14,-6.86,0,0
88.057,1,0.154,-6.846,0,0
88.121,1,0.168,-6.832,0,0
88.383,1,0.182,-6.818,0,0
88.646,1,0.196,-6.804,0,0
88.908,1,0.21,-6.79,0,0
89.17,1,0.224,-6.776,0,0
89.432,1,0.238,-6.762,0,0
89.694,1,0.252,-6.748,0,0
89.956,1,0.266,-6.734,0,0
90.294,1,0.28,-6.72,0,0
90.813,1,0.294,-6.706,0,0
91.333,1,0.308,-6.692,0,0
91.853,1,0.322,-6.678,0,0
92.379,1,0.336,-6.664,0,0
92.908,1,0.35,-6.65,0,0
93.436,1,0.364,-6.636,0,0
94.055,1,0.378,-6.622,0,0
94.746,1,0.392,-6.608,0,0
95.438,1,0.406,-6.594,0,0
96.129,1,0.42,-6.58,0,0
96.821,1,0.434,-6.566,0,0
97.512,1,0.448,-6.552,0,0
98.204,1,0.462,-6.538,0,0
98.895,1,0.476,-6.524,0,0
99.372,1,0.49,-6.51,0,0
99.601,1,0.504,-6.496,0,0
99.83,1,0.518,-6.482,0,0
100.06,1,0.532,-6.468,0,0
100.29,1,0.546,-6.454,0,0
100.52,1,0.56,-6.44,0,0
100.74,1,0.574,-6.426,0,0
101.06,1,0.588,-6.412,0,0
101.4,1,0.602,-6.398,0,0
101.74,1,0.616,-6.384,0,0
102.07,1,0.63,-6.37,0,0
102.41,1,0.644,-6.356,0,0
102.75,1,0.658,-6.342,0,0
103.09,1,0.672,-6.328,0,0
103.5,1,0.686,-6.314,0,0
104.16,1,0.7,-6.3,0,0
104.82,1,0.714,-6.286,0,0
105.47,1,0.728,-6.272,0,0
106.13,1,0.742,-6.258,0,0
106.79,1,0.756,-6.244,0,0
107.44,1,0.77,-6.23,0,0
108.1,1,0.784,-6.216,0,0
108.77,1,0.798,-6.202,0,0
109.44,1,0.812,-6.188,0,0
110.1,1,0.826,-6.174,0,0
110.77,1,0.84,-6.16,0,0
111.44,1,0.854,-6.146,0,0
112.1,1,0.868,-6.132,0,0
112.77,1,0.882,-6.118,0,0
113.03,1,0.896,-6.104,0,0
113.24,1,0.91,-6.09,0,0
113.46,1,0.924,-6.076,0,0
113.67,1,0.938,-6.062,0,0
113.89,1,0.952,-6.048,0,0
114.11,1,0.966,-6.034,0,0
114.32,1,0.98,-6.02,0,0
114.25,1,0.994,-6.006,0,0
114.17,1,1.008,-5.992,0,0
114.09,1,1.022,-5.978,0,0
